Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
THERIOGENOLOGY,THERIOGENOLOGY,ELSEVIER SCIENCE INC,0093-691X,1879-3231,REPRODUCTIVE BIOLOGY,SCIE,"20,119",2.5,Q2,1.13,13.20%,THERIOGENOLOGY
TRANSFUSION MEDICINE REVIEWS,TRANSFUS MED REV,W B SAUNDERS CO-ELSEVIER INC,0887-7963,1532-9496,HEMATOLOGY,SCIE,"1,604",2.5,Q2,0.43,23.68%,TRANSFUSION MEDICINE REVIEWS
Transplantation Reviews,TRANSPLANT REV-ORLAN,ELSEVIER SCIENCE INC,0955-470X,N/A,TRANSPLANTATION,SCIE,"1,298",2.5,Q2,0.64,34.19%,TRANSPLANTATION REVIEWS
WAVE MOTION,WAVE MOTION,ELSEVIER,0165-2125,1878-433X,ACOUSTICS,SCIE,"3,282",2.5,Q2,0.66,13.69%,WAVE MOTION
WAVE MOTION,WAVE MOTION,ELSEVIER,0165-2125,1878-433X,MECHANICS,SCIE,"3,282",2.5,Q2,0.66,13.69%,WAVE MOTION
WAVE MOTION,WAVE MOTION,ELSEVIER,0165-2125,1878-433X,"PHYSICS, MULTIDISCIPLINARY",SCIE,"3,282",2.5,Q2,0.66,13.69%,WAVE MOTION
Welding in the World,WELD WORLD,SPRINGER HEIDELBERG,0043-2288,1878-6669,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"4,220",2.5,Q2,0.54,33.23%,WELDING IN THE WORLD
WOMENS HEALTH ISSUES,WOMEN HEALTH ISS,ELSEVIER SCIENCE INC,1049-3867,1878-4321,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"3,221",2.5,Q2,1.18,11.22%,WOMENS HEALTH ISSUES
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,SPRINGER HEIDELBERG,1619-4500,1614-2411,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,782,2.6,Q2,0.37,16.67%,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH
Advances in Kidney Disease and Health,ADV KIDNEY DIS HEAL,W B SAUNDERS CO-ELSEVIER INC,2949-8147,2949-8139,UROLOGY & NEPHROLOGY,SCIE,153,2.6,Q2,1.12,10.19%,ADVANCES IN KIDNEY DISEASE AND HEALTH
Affective Science,AFFECT SCI,SPRINGERNATURE,2662-2041,2662-205X,PSYCHOLOGY,ESCI,937,2.6,Q2,0.78,19.37%,AFFECTIVE SCIENCE
Affective Science,AFFECT SCI,SPRINGERNATURE,2662-2041,2662-205X,"PSYCHOLOGY, EXPERIMENTAL",ESCI,937,2.6,Q2,0.78,19.37%,AFFECTIVE SCIENCE
AQUATIC BOTANY,AQUAT BOT,ELSEVIER,0304-3770,1879-1522,PLANT SCIENCES,SCIE,"5,348",2.6,Q2,0.71,23.29%,AQUATIC BOTANY
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,SPRINGER,1387-2532,1573-7454,AUTOMATION & CONTROL SYSTEMS,SCIE,"1,201",2.6,Q2,0.45,53.38%,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS
Beni-Suef University Journal of Basic and Applied Sciences,BENI-SUEF U J BASIC,SPRINGERNATURE,N/A,2314-8543,MULTIDISCIPLINARY SCIENCES,ESCI,"1,963",2.6,Q2,0.52,100%,BENI-SUEF UNIVERSITY JOURNAL OF BASIC AND APPLIED SCIENCES
BIOLOGICAL INVASIONS,BIOL INVASIONS,SPRINGER,1387-3547,1573-1464,BIODIVERSITY CONSERVATION,SCIE,"12,347",2.6,Q2,0.73,37.92%,BIOLOGICAL INVASIONS
BIOLOGICAL INVASIONS,BIOL INVASIONS,SPRINGER,1387-3547,1573-1464,ECOLOGY,SCIE,"12,347",2.6,Q2,0.73,37.92%,BIOLOGICAL INVASIONS
BJA Education,BJA EDUC,ELSEVIER SCI LTD,2058-5349,2058-5357,ANESTHESIOLOGY,ESCI,"2,514",2.6,Q2,0.92,9.46%,BJA EDUCATION
BMC Anesthesiology,BMC ANESTHESIOL,BMC,1471-2253,1471-2253,ANESTHESIOLOGY,SCIE,"6,311",2.6,Q2,1.13,99.76%,BMC ANESTHESIOLOGY
BMC Ecology and Evolution,BMC ECOL EVOL,BMC,N/A,2730-7182,ECOLOGY,SCIE,"1,208",2.6,Q2,0.7,100%,BMC ECOLOGY AND EVOLUTION
BMC Ecology and Evolution,BMC ECOL EVOL,BMC,N/A,2730-7182,EVOLUTIONARY BIOLOGY,SCIE,"1,208",2.6,Q2,0.7,100%,BMC ECOLOGY AND EVOLUTION
BMC Ecology and Evolution,BMC ECOL EVOL,BMC,N/A,2730-7182,GENETICS & HEREDITY,SCIE,"1,208",2.6,Q2,0.7,100%,BMC ECOLOGY AND EVOLUTION
BMC GASTROENTEROLOGY,BMC GASTROENTEROL,BMC,N/A,1471-230X,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"10,535",2.6,Q2,0.63,100%,BMC GASTROENTEROLOGY
BRITISH DENTAL JOURNAL,BRIT DENT J,SPRINGERNATURE,0007-0610,1476-5373,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"8,553",2.6,Q2,0.91,36.27%,BRITISH DENTAL JOURNAL
Clinical Neuroradiology,CLIN NEURORADIOL,SPRINGER HEIDELBERG,1869-1439,1869-1447,CLINICAL NEUROLOGY,SCIE,"2,074",2.6,Q2,0.79,50.74%,CLINICAL NEURORADIOLOGY
Clinical Neuroradiology,CLIN NEURORADIOL,SPRINGER HEIDELBERG,1869-1439,1869-1447,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"2,074",2.6,Q2,0.79,50.74%,CLINICAL NEURORADIOLOGY
DIFFERENTIATION,DIFFERENTIATION,ELSEVIER SCI LTD,0301-4681,1432-0436,DEVELOPMENTAL BIOLOGY,SCIE,"2,319",2.6,Q2,0.58,19.63%,DIFFERENTIATION
Eating Behaviors,EAT BEHAV,ELSEVIER,1471-0153,1873-7358,PSYCHIATRY,SSCI,"3,896",2.6,Q2,0.93,17.07%,EATING BEHAVIORS
Eating Behaviors,EAT BEHAV,ELSEVIER,1471-0153,1873-7358,"PSYCHOLOGY, CLINICAL",SSCI,"3,896",2.6,Q2,0.93,17.07%,EATING BEHAVIORS
ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0272-7714,1096-0015,OCEANOGRAPHY,SCIE,"20,524",2.6,Q2,0.9,29.98%,ESTUARINE COASTAL AND SHELF SCIENCE
EUROPEAN JOURNAL OF CONTROL,EUR J CONTROL,ELSEVIER,0947-3580,1435-5671,AUTOMATION & CONTROL SYSTEMS,SCIE,"2,458",2.6,Q2,0.6,21.81%,EUROPEAN JOURNAL OF CONTROL
European Journal of Development Research,EUR J DEV RES,PALGRAVE MACMILLAN LTD,0957-8811,1743-9728,DEVELOPMENT STUDIES,SSCI,"2,235",2.6,Q2,0.74,44.65%,EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH
GEOINFORMATICA,GEOINFORMATICA,SPRINGER,1384-6175,1573-7624,"GEOGRAPHY, PHYSICAL",SCIE,813,2.6,Q2,0.58,20.29%,GEOINFORMATICA
Head & Face Medicine,HEAD FACE MED,BMC,N/A,1746-160X,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"1,624",2.6,Q2,1.12,99.39%,HEAD & FACE MEDICINE
Health & Justice,HEAL JUSTICE,SPRINGERNATURE,N/A,2194-7899,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,748,2.6,Q2,1.27,100%,HEALTH & JUSTICE
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"3,783",2.6,Q2,0.91,11.27%,HEART & LUNG
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,RESPIRATORY SYSTEM,SCIE,"3,783",2.6,Q2,0.91,11.27%,HEART & LUNG
HUMAN PATHOLOGY,HUM PATHOL,W B SAUNDERS CO-ELSEVIER INC,0046-8177,1532-8392,PATHOLOGY,SCIE,"11,686",2.6,Q2,1.15,12.77%,HUMAN PATHOLOGY
IEEE Power Electronics Magazine,IEEE POWER ELECTRON,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2329-9207,2329-9215,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,"2,207",2.6,Q2,0.53,0%,IEEE POWER ELECTRONICS MAGAZINE
INFECTION GENETICS AND EVOLUTION,INFECT GENET EVOL,ELSEVIER,1567-1348,1567-7257,INFECTIOUS DISEASES,SCIE,"10,055",2.6,Q2,0.69,99.58%,INFECTION GENETICS AND EVOLUTION
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,INT J BIOMETEOROL,SPRINGER,0020-7128,1432-1254,PHYSIOLOGY,SCIE,"9,701",2.6,Q2,0.7,23.30%,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY
International Journal of Material Forming,INT J MATER FORM,SPRINGER FRANCE,1960-6206,1960-6214,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"2,142",2.6,Q2,0.52,32.34%,INTERNATIONAL JOURNAL OF MATERIAL FORMING
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,ELSEVIER,0167-8760,1872-7697,PHYSIOLOGY,SCIE,"9,774",2.6,Q2,0.84,22.87%,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,ELSEVIER,0167-8760,1872-7697,PSYCHOLOGY,SCIE,"9,774",2.6,Q2,0.84,22.87%,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,ELSEVIER,0167-8760,1872-7697,"PSYCHOLOGY, BIOLOGICAL",SSCI,"9,774",2.6,Q2,0.84,22.87%,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,ELSEVIER,0167-8760,1872-7697,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"9,774",2.6,Q2,0.84,22.87%,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY
INTERNATIONAL ORTHOPAEDICS,INT ORTHOP,SPRINGER,0341-2695,1432-5195,ORTHOPEDICS,SCIE,"13,104",2.6,Q2,1.07,25.61%,INTERNATIONAL ORTHOPAEDICS
Journal of Cardiology,J CARDIOL,ELSEVIER,0914-5087,1876-4738,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"4,599",2.6,Q2,0.7,9.66%,JOURNAL OF CARDIOLOGY
JOURNAL OF ELECTROCERAMICS,J ELECTROCERAM,SPRINGER,1385-3449,1573-8663,"MATERIALS SCIENCE, CERAMICS",SCIE,"2,575",2.6,Q2,0.47,3.96%,JOURNAL OF ELECTROCERAMICS
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,J INTERV CARD ELECTR,SPRINGER,1383-875X,1572-8595,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"3,434",2.6,Q2,0.6,25.21%,JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY
JOURNAL OF NANOPARTICLE RESEARCH,J NANOPART RES,SPRINGER,1388-0764,1572-896X,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"12,831",2.6,Q2,0.33,6.19%,JOURNAL OF NANOPARTICLE RESEARCH
JOURNAL OF NEPHROLOGY,J NEPHROL,SPRINGER HEIDELBERG,1121-8428,1724-6059,UROLOGY & NEPHROLOGY,SCIE,"4,897",2.6,Q2,0.81,32.38%,JOURNAL OF NEPHROLOGY
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,SPRINGER,0938-8974,1432-1467,MECHANICS,SCIE,"3,183",2.6,Q2,1.05,37.73%,JOURNAL OF NONLINEAR SCIENCE
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,J ORAL MAXIL SURG,W B SAUNDERS CO-ELSEVIER INC,0278-2391,1531-5053,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"16,155",2.6,Q2,0.99,4.98%,JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY
Journal of Thermal Science,J THERM SCI,SPRINGER,1003-2169,1993-033X,"ENGINEERING, MECHANICAL",SCIE,"3,128",2.6,Q2,0.49,1.68%,JOURNAL OF THERMAL SCIENCE
Journal of Thermal Science,J THERM SCI,SPRINGER,1003-2169,1993-033X,THERMODYNAMICS,SCIE,"3,128",2.6,Q2,0.49,1.68%,JOURNAL OF THERMAL SCIENCE
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,ELSEVIER SCIENCE INC,1051-0443,1535-7732,PERIPHERAL VASCULAR DISEASE,SCIE,"10,164",2.6,Q2,0.65,9.15%,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,J VASC INTERV RADIOL,ELSEVIER SCIENCE INC,1051-0443,1535-7732,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"10,164",2.6,Q2,0.65,9.15%,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,SPRINGER HEIDELBERG,0140-0118,1741-0444,MATHEMATICAL & COMPUTATIONAL BIOLOGY,SCIE,"7,720",2.6,Q2,0.63,14.16%,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING
Mental Health and Physical Activity,MENT HEALTH PHYS ACT,ELSEVIER SCI LTD,1755-2966,1878-0199,PSYCHIATRY,SSCI,"1,446",2.6,Q2,0.83,32.96%,MENTAL HEALTH AND PHYSICAL ACTIVITY
Mental Health and Physical Activity,MENT HEALTH PHYS ACT,ELSEVIER SCI LTD,1755-2966,1878-0199,"PSYCHOLOGY, CLINICAL",SSCI,"1,446",2.6,Q2,0.83,32.96%,MENTAL HEALTH AND PHYSICAL ACTIVITY
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,ELSEVIER,0141-9331,1872-9436,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"3,235",2.6,Q2,0.49,10%,MICROPROCESSORS AND MICROSYSTEMS
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,ELSEVIER,0141-9331,1872-9436,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"3,235",2.6,Q2,0.49,10%,MICROPROCESSORS AND MICROSYSTEMS
NEURORADIOLOGY,NEURORADIOLOGY,SPRINGER,0028-3940,1432-1920,CLINICAL NEUROLOGY,SCIE,"6,850",2.6,Q2,0.72,29.37%,NEURORADIOLOGY
NEURORADIOLOGY,NEURORADIOLOGY,SPRINGER,0028-3940,1432-1920,NEUROIMAGING,SCIE,"6,850",2.6,Q2,0.72,29.37%,NEURORADIOLOGY
NEURORADIOLOGY,NEURORADIOLOGY,SPRINGER,0028-3940,1432-1920,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"6,850",2.6,Q2,0.72,29.37%,NEURORADIOLOGY
PEDIATRIC NEPHROLOGY,PEDIATR NEPHROL,SPRINGER,0931-041X,1432-198X,UROLOGY & NEPHROLOGY,SCIE,"11,575",2.6,Q2,0.95,28.78%,PEDIATRIC NEPHROLOGY
PERSONALITY AND INDIVIDUAL DIFFERENCES,PERS INDIV DIFFER,PERGAMON-ELSEVIER SCIENCE LTD,0191-8869,1873-3549,"PSYCHOLOGY, SOCIAL",SSCI,"36,014",2.6,Q2,1.12,26.49%,PERSONALITY AND INDIVIDUAL DIFFERENCES
PHYSICS LETTERS A,PHYS LETT A,ELSEVIER,0375-9601,1873-2429,"PHYSICS, MULTIDISCIPLINARY",SCIE,"28,755",2.6,Q2,0.69,3.71%,PHYSICS LETTERS A
POLYHEDRON,POLYHEDRON,PERGAMON-ELSEVIER SCIENCE LTD,0277-5387,1873-3719,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,"15,288",2.6,Q2,0.97,7.81%,POLYHEDRON
POLYHEDRON,POLYHEDRON,PERGAMON-ELSEVIER SCIENCE LTD,0277-5387,1873-3719,CRYSTALLOGRAPHY,SCIE,"15,288",2.6,Q2,0.97,7.81%,POLYHEDRON
Prostate International,PROSTATE INT,ELSEVIER INC,2287-8882,2287-903X,UROLOGY & NEPHROLOGY,SCIE,656,2.6,Q2,0.97,99.05%,PROSTATE INTERNATIONAL
SSM-Mental Health,SSM-MENT HEALTH,ELSEVIER,2666-5603,2666-5603,PSYCHIATRY,ESCI,784,2.6,Q2,0.77,96.31%,SSM-MENTAL HEALTH
SSM-Mental Health,SSM-MENT HEALTH,ELSEVIER,2666-5603,2666-5603,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,784,2.6,Q2,0.77,96.31%,SSM-MENTAL HEALTH
TECTONOPHYSICS,TECTONOPHYSICS,ELSEVIER,0040-1951,1879-3266,GEOCHEMISTRY & GEOPHYSICS,SCIE,"30,148",2.6,Q2,0.75,17.87%,TECTONOPHYSICS
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,ELSEVIER SCIENCE INC,0301-5629,1879-291X,ACOUSTICS,SCIE,"12,872",2.6,Q2,0.73,18.32%,ULTRASOUND IN MEDICINE AND BIOLOGY
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,ELSEVIER SCIENCE INC,0301-5629,1879-291X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"12,872",2.6,Q2,0.73,18.32%,ULTRASOUND IN MEDICINE AND BIOLOGY
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,SPRINGER,0894-9166,1860-2134,MECHANICS,SCIE,"1,930",2.7,Q2,0.48,6.64%,ACTA MECHANICA SOLIDA SINICA
ACTA PSYCHOLOGICA,ACTA PSYCHOL,ELSEVIER,0001-6918,1873-6297,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"7,979",2.7,Q2,0.83,99.70%,ACTA PSYCHOLOGICA
Administration and Policy in Mental Health and Mental Health Services Research,ADM POLICY MENT HLTH,SPRINGER,0894-587X,1573-3289,HEALTH POLICY & SERVICES,SSCI,"5,541",2.7,Q2,0.76,39.39%,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH
Administration and Policy in Mental Health and Mental Health Services Research,ADM POLICY MENT HLTH,SPRINGER,0894-587X,1573-3289,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"5,541",2.7,Q2,0.76,39.39%,ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH
Advances in Radiation Oncology,ADV RADIAT ONCOL,ELSEVIER INC,N/A,2452-1094,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,"2,682",2.7,Q2,0.65,96.95%,ADVANCES IN RADIATION ONCOLOGY
Aging Brain,AGING BRAIN,ELSEVIER,N/A,2589-9589,CLINICAL NEUROLOGY,ESCI,240,2.7,Q2,0.66,100%,AGING BRAIN
Archives of Womens Mental Health,ARCH WOMEN MENT HLTH,SPRINGER WIEN,1434-1816,1435-1102,PSYCHIATRY,SCIE,"5,035",2.7,Q2,0.77,40.44%,ARCHIVES OF WOMENS MENTAL HEALTH
Australian Critical Care,AUST CRIT CARE,ELSEVIER SCIENCE INC,1036-7314,1878-1721,CRITICAL CARE MEDICINE,SCIE,"2,338",2.7,Q2,1.23,21.53%,AUSTRALIAN CRITICAL CARE
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,BBA-BIOENERGETICS,ELSEVIER,0005-2728,1879-2650,BIOPHYSICS,SCIE,"11,238",2.7,Q2,0.76,33.33%,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS
Biomechanics and Modeling in Mechanobiology,BIOMECH MODEL MECHAN,SPRINGER HEIDELBERG,1617-7959,1617-7940,BIOPHYSICS,SCIE,"4,892",2.7,Q2,0.72,45.38%,BIOMECHANICS AND MODELING IN MECHANOBIOLOGY
Biophysical Reports,BIOPHYS REP-US,ELSEVIER,2667-0747,2667-0747,BIOPHYSICS,ESCI,344,2.7,Q2,0.63,94.68%,BIOPHYSICAL REPORTS
BMC Pharmacology & Toxicology,BMC PHARMACOL TOXICO,BMC,N/A,2050-6511,PHARMACOLOGY & PHARMACY,SCIE,"2,251",2.7,Q2,0.8,100%,BMC PHARMACOLOGY & TOXICOLOGY
BMC Womens Health,BMC WOMENS HEALTH,BMC,N/A,1472-6874,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"9,705",2.7,Q2,0.98,100%,BMC WOMENS HEALTH
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,BOL SOC ESP CERAM V,ELSEVIER,0366-3175,2173-0431,"MATERIALS SCIENCE, CERAMICS",SCIE,"1,021",2.7,Q2,0.71,99.36%,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO
Borderline Personality Disorder and Emotion Dysregulation,BORDER PERS DIS EMOT,BMC,2051-6673,2051-6673,PSYCHIATRY,SCIE,991,2.7,Q2,0.89,100%,BORDERLINE PERSONALITY DISORDER AND EMOTION DYSREGULATION
Cardiology and Therapy,CARDIOL THER,SPRINGER LONDON LTD,2193-8261,2193-6544,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,712,2.7,Q2,0.61,100%,CARDIOLOGY AND THERAPY
Cardiovascular Digital Health Journal,CARDIOVASC DIGIT HLT,ELSEVIER,2666-6936,2666-6936,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,355,2.7,Q2,0.72,98.80%,CARDIOVASCULAR DIGITAL HEALTH JOURNAL
Chemical Data Collections,CHEM DATA COLLECT,ELSEVIER,N/A,2405-8300,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,"2,467",2.7,Q2,0.47,1.89%,CHEMICAL DATA COLLECTIONS
Clinical and Translational Radiation Oncology,CLIN TRANSL RAD ONCO,ELSEVIER IRELAND LTD,N/A,2405-6308,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"2,244",2.7,Q2,0.71,94.81%,CLINICAL AND TRANSLATIONAL RADIATION ONCOLOGY
CLINICAL DRUG INVESTIGATION,CLIN DRUG INVEST,ADIS INT LTD,1173-2563,1179-1918,PHARMACOLOGY & PHARMACY,SCIE,"2,979",2.7,Q2,0.75,44%,CLINICAL DRUG INVESTIGATION
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,SPRINGER,1530-7026,1531-135X,BEHAVIORAL SCIENCES,SCIE,"4,902",2.7,Q2,0.8,47.08%,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE
Discover Mental Health,DISCOV MENT HEALTH,SPRINGERNATURE,N/A,2731-4383,PSYCHIATRY,ESCI,147,2.7,Q2,0.61,99.12%,DISCOVER MENTAL HEALTH
DNA REPAIR,DNA REPAIR,ELSEVIER,1568-7864,1568-7856,GENETICS & HEREDITY,SCIE,"6,270",2.7,Q2,0.84,31.95%,DNA REPAIR
ECOTOXICOLOGY,ECOTOXICOLOGY,SPRINGER,0963-9292,1573-3017,ECOLOGY,SCIE,"6,491",2.7,Q2,0.61,17.18%,ECOTOXICOLOGY
EURO Journal on Transportation and Logistics,EURO J TRANSP LOGIST,ELSEVIER,2192-4376,2192-4384,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,675,2.7,Q2,0.45,100%,EURO JOURNAL ON TRANSPORTATION AND LOGISTICS
EURO Journal on Transportation and Logistics,EURO J TRANSP LOGIST,ELSEVIER,2192-4376,2192-4384,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,675,2.7,Q2,0.45,100%,EURO JOURNAL ON TRANSPORTATION AND LOGISTICS
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,EUR J APPL PHYSIOL,SPRINGER,1439-6319,1439-6327,PHYSIOLOGY,SCIE,"18,247",2.7,Q2,0.95,42.72%,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,EUR J APPL PHYSIOL,SPRINGER,1439-6319,1439-6327,SPORT SCIENCES,SCIE,"18,247",2.7,Q2,0.95,42.72%,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,EUR J CLIN PHARMACOL,SPRINGER HEIDELBERG,0031-6970,1432-1041,PHARMACOLOGY & PHARMACY,SCIE,"8,344",2.7,Q2,0.6,31.38%,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY
EUROPEAN SPINE JOURNAL,EUR SPINE J,SPRINGER,0940-6719,1432-0932,CLINICAL NEUROLOGY,SCIE,"20,912",2.7,Q2,0.96,26.61%,EUROPEAN SPINE JOURNAL
EUROPEAN SPINE JOURNAL,EUR SPINE J,SPRINGER,0940-6719,1432-0932,ORTHOPEDICS,SCIE,"20,912",2.7,Q2,0.96,26.61%,EUROPEAN SPINE JOURNAL
EXPERIMENTAL EYE RESEARCH,EXP EYE RES,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0014-4835,1096-0007,OPHTHALMOLOGY,SCIE,"15,515",2.7,Q2,1.35,17.75%,EXPERIMENTAL EYE RESEARCH
FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEAS INSTRUM,ELSEVIER SCI LTD,0955-5986,1873-6998,"ENGINEERING, MECHANICAL",SCIE,"4,158",2.7,Q2,0.61,8.29%,FLOW MEASUREMENT AND INSTRUMENTATION
FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEAS INSTRUM,ELSEVIER SCI LTD,0955-5986,1873-6998,INSTRUMENTS & INSTRUMENTATION,SCIE,"4,158",2.7,Q2,0.61,8.29%,FLOW MEASUREMENT AND INSTRUMENTATION
FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBR,ELSEVIER,0378-3812,1879-0224,THERMODYNAMICS,SCIE,"15,168",2.7,Q2,0.44,18.34%,FLUID PHASE EQUILIBRIA
Food and Environmental Virology,FOOD ENVIRON VIROL,SPRINGER,1867-0334,1867-0342,VIROLOGY,SCIE,"1,353",2.7,Q2,0.72,42.06%,FOOD AND ENVIRONMENTAL VIROLOGY
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,SPRINGER,1615-3375,1615-3383,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"2,445",2.7,Q2,1.56,50.74%,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,ELSEVIER,0165-0114,1872-6801,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"14,846",2.7,Q2,1.43,13.96%,FUZZY SETS AND SYSTEMS
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,W B SAUNDERS CO-ELSEVIER INC,0889-8588,1558-1977,HEMATOLOGY,SCIE,"3,379",2.7,Q2,0.67,1.27%,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA
